Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
5375,Toyotetsu india ...,4.6,(97 Reviews),Private,Aichi + 3 more,13 years old,501-1k Employees (India),Automobile,13
5376,Damodar Valley C...,3.9,(97 Reviews),Kolkata + 10 more,74 years old,5k-10k Employees (India),,Consulting,8
5377,Tata Autocomp GY...,3.9,(97 Reviews),Private,Pune + 21 more,17 years old,201-500 Employees (India),Automobile,16
5378,Sv Edusports,4.4,(97 Reviews),Private,Bangalore + 26 more,13 years old,1 Lakh+ Employees (India),Education / Training,13
5379,IXAR,3.7,(97 Reviews),Private,Mumbai + 8 more,53 years old,51-200 Employees (India),Oil & Gas,3
5380,CDE Asia,4.5,(97 Reviews),Kolkata + 4 more,16 years old,201-500 Employees (India),,Kolkata,16
5381,Hi Tech Informat...,3.5,(97 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 25 more",32 years old,501-1k Employees (Global),Automobile,9
5382,American Oncolog...,4.2,(97 Reviews),Private,"Pittsburgh,Pennsylvania + 12 more",10 years old,1-10 Employees (India),Education / Training,14
5383,SIAC SKH India C...,3.9,(97 Reviews),Palwal + 5 more,12 years old,1-10 Employees (India),,Industrial Equipment / Machinery,13
5384,Man Industries,3.6,(97 Reviews),Public,"Mumbai,Maharashtra + 7 more",34 years old,1k-5k Employees (India),Import & Export,7
5385,Mahle Anand Ther...,4.2,(97 Reviews),Pune + 3 more,201-500 Employees (India),,,,15
5386,Sitel Group Indi...,4.0,(97 Reviews),Miami + 6 more,37 years old,1k-5k Employees (India),,BPO / Call Centre,7
5387,Funlabtech,4.3,(97 Reviews),Gurgaon/Gurugram + 4 more,201-500 Employees (Global),,,IT Services & Consulting,6
5388,Praxis home Reta...,4.1,(97 Reviews),Public,Mumbai + 22 more,15 years old,1k-5k Employees (India),Retail,2
5389,Shore Infotech I...,3.3,(97 Reviews),Private,"New York,NY",15 years old,201-500 Employees (India),Analytics / KPO / Research,9
5390,Zyoin,3.7,(97 Reviews),Private,Bangalore + 3 more,17 years old,201-500 Employees (India),Recruitment / Staffing,17
5391,Mahindra Agri So...,4.1,(148 Reviews),Mumbai + 24 more,22 years old,201-500 Employees (Global),,Agriculture / Forestry / Fishing,5
5392,BookMyShow,3.8,(96 Reviews),Private,"Mumbai,Maharashtra + 11 more",23 years old,501-1k Employees (India),Internet,12
5393,Aranca,3.8,(96 Reviews),Private,"Mumbai,Maharashtra + 1 more",19 years old,501-1k Employees (India),Consulting,1
5394,Atidiv,3.3,(96 Reviews),Private,"Pune,Maharashtra",13 years old,201-500 Employees (India),Internet,10
5395,Excel Crop Care,4.0,(96 Reviews),Public,"Mumbai,Maharashtra + 14 more",58 years old,1k-5k Employees (India),Agriculture / Forestry / Fishing,11
5396,SAGE Publication...,4.1,(96 Reviews),Private,Thousand Oaks + 3 more,57 years old,201-500 Employees (India),Media & Entertainment / Publishing,16
5397,Manikaran Power,2.9,(96 Reviews),Private,"Delhi/NCR,Delhi + 5 more",17 years old,501-1k Employees (India),Power,14
5398,Shriram EPC,4.4,(96 Reviews),Public,"Chennai,Tamil Nadu + 10 more",22 years old,201-500 Employees (India),Engineering & Construction,8
5399,Indian Terrain F...,3.9,(96 Reviews),Public,"Chennai,Tamil Nadu + 24 more",22 years old,201-500 Employees (India),Retail,17
5400,WSP,4.4,(96 Reviews),Private,Montreal + 9 more,63 years old,1k-5k Employees (India),Architecture / Interior Design,18
5401,Dimension India ...,3.5,(96 Reviews),Private,"Noida,Uttar Pradesh + 9 more",22 years old,201-500 Employees (India),Design,12
5402,RND Softech,3.8,(96 Reviews),Private,"Coimbatore,Tamil Nadu",23 years old,1k-5k Employees (India),Advertising / PR / Events,17
5403,Lester Infoservi...,3.6,(96 Reviews),Private,"East Haven,Connecticut + 1 more",41 years old,201-500 Employees (India),Internet,14
