Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
2018,RealPage,4.1,(250 Reviews),Private,"Richardson,Texas + 4 more",24 years old,1k-5k Employees (India),Analytics / KPO / Research,13
2019,Competent Synerg...,3.7,(249 Reviews),Private,"Chandigarh,Haryana + 23 more",27 years old,501-1k Employees (India),BPO/KPO,19
2020,SMS Infrastructu...,3.7,(249 Reviews),Private,"Nagpur,Maharashtra + 42 more",59 years old,1k-5k Employees (India),Real Estate,8
2021,NTT,4.1,(249 Reviews),"Melbourne,Victoria + 28 more",34 years old,10k-50k Employees (India),,IT Services & Consulting,5
2022,Writer Safe Guar...,3.8,(249 Reviews),Private,"Mumbai,Maharashtra + 57 more",21 years old,5k-10k Employees (India),BPO/KPO,20
2023,Vectus Industrie...,4.2,(249 Reviews),Private,"Noida,Uttar Pradesh + 38 more",18 years old,1k-5k Employees (India),Industrial Equipment / Machinery,8
2024,Novartis Healthc...,4.2,(249 Reviews),Public,"Mumbai,Maharashtra + 17 more",26 years old,5k-10k Employees (India),Manufacturing,12
2025,Capital Trust,3.8,(249 Reviews),Public,"Delhi/NCR,New Delhi + 65 more",36 years old,201-500 Employees (India),NBFC,1
2026,PTC,4.1,(249 Reviews),Public,"Boston,Massachusetts + 23 more",37 years old,51-200 Employees (India),Internet,20
2027,Aurangabad Elect...,4.0,(249 Reviews),Private,"Aurangabad,Maharashtra + 5 more",37 years old,501-1k Employees (India),Automobile,6
2028,Super Smelters,4.2,(249 Reviews),"Kolkata,West Bengal + 11 more",27 years old,501-1k Employees (India),,Industrial Equipment / Machinery,18
2029,Transasia Bio-Me...,3.2,(249 Reviews),Private,"Mumbai,Maharashtra + 36 more",43 years old,1k-5k Employees (India),Industrial Equipment / Machinery,8
2030,Hajee A P Bava C...,3.8,(249 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 35 more",72 years old,201-500 Employees (India),Engineering & Construction,7
2031,DesignTech Syste...,3.3,(248 Reviews),Private,Pune + 26 more,24 years old,501-1k Employees (India),Industrial Equipment / Machinery,1
2032,Princess Cruises,4.7,(248 Reviews),Private,Santa Clarita + 7 more,57 years old,1k-5k Employees (India),Travel & Tourism / Hospitality,16
2033,Bhagwati Product...,3.9,(248 Reviews),Public,"Delhi/NCR,New Delhi + 12 more",20 years old,11-50 Employees (India),Consumer goods,12
2034,Toshiba JSW Powe...,4.3,(248 Reviews),Private,"Chiyoda-ku,Tokyo-to + 8 more",9 years old,501-1k Employees (India),Design,6
2035,Vindhya Telelink...,4.1,(248 Reviews),Public,"Delhi/NCR,Delhi + 35 more",39 years old,501-1k Employees (India),Telecom / ISP,20
2036,Amber Enterprise...,4.1,(248 Reviews),Public,"Mumbai,Maharashtra + 16 more",32 years old,1k-5k Employees (India),Consumer goods,2
2037,Sona Comstar,4.2,(248 Reviews),Public,Gurgaon + 6 more,27 years old,1k-5k Employees (India),Design,14
2038,Karvy Financial ...,3.6,(899 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 34 more",41 years old,51-200 Employees (India),Financial Services,4
2039,Paharpur Cooling...,4.0,(318 Reviews),Private,"Kolkata,West Bengal + 29 more",74 years old,1k-5k Employees (India),Industrial Equipment / Machinery,1
2040,Cvent,3.6,(247 Reviews),Private,"Fairfax,Virginia",23 years old,1k-5k Employees (India),Advertising / PR / Events,18
2041,Jawahar Navodaya...,4.3,(247 Reviews),Private,"Noida,Uttar Pradesh + 91 more",37 years old,10k-50k Employees (India),Education / Training,13
2042,Skilliantech,4.8,(247 Reviews),Private,"London,England + 11 more",17 years old,201-500 Employees (India),Recruitment / Staffing,2
2043,IDP Education,4.0,(247 Reviews),Government,"Melbourne,Victoria + 36 more",53 years old,1k-5k Employees (India),Education / Training,9
2044,Onward eServices,4.0,(247 Reviews),Public,"Mumbai,Maharashtra + 39 more",19 years old,1k-5k Employees (India),Recruitment / Staffing,2
2045,Transguard Group...,4.1,(247 Reviews),Private,"Dubai,Dubai + 18 more",21 years old,501-1k Employees (India),Law Enforcement / Security Services,9
2046,Herbalife Intern...,4.3,(247 Reviews),Private,Los Angeles + 55 more,42 years old,1k-5k Employees (India),Consumer goods,1
2047,Transrail Lighti...,4.0,(247 Reviews),Private,"Mumbai,Maharashtra + 38 more",14 years old,501-1k Employees (India),Manufacturing,11
2048,Cyfuture,3.7,(247 Reviews),Noida + 21 more,21 years old,1k-5k Employees (India),,Internet,3
2049,Phillips Carbon ...,3.7,(246 Reviews),Public,"Kolkata,West Bengal + 11 more",62 years old,501-1k Employees (India),Chemicals / Agri Inputs,20
2050,Sakthi Auto Comp...,3.5,(246 Reviews),Public,"Coimbatore,Tamil Nadu + 7 more",39 years old,501-1k Employees (India),Import & Export,4
2051,SRM University,4.0,(246 Reviews),Private,Chennai + 20 more,37 years old,1k-5k Employees (India),Education / Training,18
2052,ABM Knowledgewar...,3.6,(246 Reviews),Public,Mumbai + 29 more,29 years old,501-1k Employees (India),IT Services & Consulting,6
2053,Montecarlo Const...,4.3,(246 Reviews),"Ahmedabad,Gujarat + 47 more",27 years old,1k-5k Employees (India),,Engineering & Construction,3
2054,Hsbc Technology,4.1,(246 Reviews),Private,London + 6 more,157 years old,10k-50k Employees (India),Banking,11
2055,Ensure Support S...,4.0,(246 Reviews),Private,"Chennai,Tamil Nadu + 40 more",9 years old,201-500 Employees (India),IT Services & Consulting,15
2056,C-Edge Technolog...,3.9,(246 Reviews),Private,Thane + 15 more,16 years old,501-1k Employees (India),Financial Services,5
2057,P.D. Hinduja Nat...,4.1,(246 Reviews),NGO/NPO,"Mumbai,Maharashtra + 8 more",71 years old,1k-5k Employees (India),Medical Services / Hospital,20
2058,Indian Space Res...,4.2,(246 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",53 years old,10k-50k Employees (India),Defence & Aerospace,10
2059,Aimil Pharmaceut...,3.6,(245 Reviews),Private,"Delhi/NCR,New Delhi + 30 more",90 years old,501-1k Employees (India),Industrial Equipment / Machinery,12
2060,FoodPanda,4.2,(245 Reviews),Private,"Berlin,Berlin + 15 more",10 years old,501-1k Employees (India),Food Processing,15
2061,Caparo Maruti,3.9,(744 Reviews),JV,"Gurgaon/Gurugram,Haryana + 10 more",28 years old,501-1k Employees (India),Design,17
2062,MOURI Tech,4.0,(244 Reviews),Private,"Dallas,Texas + 5 more",17 years old,1k-5k Employees (India),IT Services & Consulting,10
2063,Ryan,4.5,(244 Reviews),Private,"Dallas,Texas + 3 more",31 years old,501-1k Employees (India),Education / Training,6
2064,S2 Infotech,3.2,(244 Reviews),Public,"Mumbai,Maharashtra + 44 more",17 years old,201-500 Employees (India),Recruitment / Staffing,18
2065,Richfeel Health ...,2.6,(244 Reviews),Private,"Mumbai,Maharashtra + 32 more",36 years old,501-1k Employees (India),Beauty & Wellness,13
2066,Balmer Lawrie,3.9,(244 Reviews),Private,"Kolkata,West Bengal + 28 more",155 years old,1k-5k Employees (India),Power,3
2067,AccorHotels,4.4,(647 Reviews),Private,Paris + 29 more,55 years old,1k-5k Employees (India),Travel & Tourism / Hospitality,10
2068,Surin Automotive,3.5,(243 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",48 years old,201-500 Employees (India),Industrial Equipment / Machinery,14
2069,Dharampal Premch...,4.1,(243 Reviews),Private,"Delhi/NCR,New Delhi + 40 more",93 years old,201-500 Employees (India),FMCG,6
2070,Torry Harris Bus...,3.9,(243 Reviews),Private,Perth Amboy + 3 more,24 years old,1k-5k Employees (India),IT Services & Consulting,3
2071,Tractebel,4.1,(243 Reviews),Private,"Chakkarpur,Haryana + 40 more",29 years old,501-1k Employees (India),Consulting,16
2072,Zara,3.8,(243 Reviews),Private,Â Arteixo + 19 more,48 years old,1k-5k Employees (India),Retail,7
2073,Indian Immunolog...,4.1,(243 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 17 more",40 years old,1k-5k Employees (India),Biotech & Life sciences,20
2074,Ramkrishna Forgi...,3.9,(243 Reviews),Public,"Kolkata,West Bengal + 10 more",41 years old,1k-5k Employees (India),Iron & Steel,14
2075,Fortis Escorts ...,4.1,(243 Reviews),Public,"Delhi/NCR,Delhi + 13 more",34 years old,5k-10k Employees (India),Medical Services / Hospital,9
2076,Corteva Agriscie...,4.3,(243 Reviews),Public,"Wilmington,Delaware + 46 more",3 years old,1k-5k Employees (India),Agriculture / Forestry / Fishing,15
2077,South Indian Ban...,3.8,(242 Reviews),Public,"Thrissur/Trichur,Kerala + 47 more",93 years old,1k-5k Employees (India),Financial Services,3
2078,Victora Tool Eng...,3.9,(242 Reviews),Private,"Faridabad,Haryana + 6 more",50 years old,1k-5k Employees (India),Manufacturing,2
2079,Webskitters,4.7,(242 Reviews),Private,"Kolkata,West Bengal + 1 more",12 years old,201-500 Employees (India),Education / Training,2
2080,Technosoft Globa...,3.4,(242 Reviews),Private,Southfield + 7 more,26 years old,5k-10k Employees (Global),IT Services & Consulting,3
2081,CSC UK,3.8,(242 Reviews),Private,London + 21 more,63 years old,,Government / Public Administration,18
2082,ITI,3.8,(242 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 51 more",74 years old,501-1k Employees (India),Manufacturing,14
2083,GSH Group,4.0,(242 Reviews),Private,"Parsippany,New Jersey + 30 more",127 years old,501-1k Employees (India),Facility Management Services,20
2084,Wipro GE Health ...,4.2,(242 Reviews),Chicago + 27 more,130 years old,201-500 Employees (India),,IT Services & Consulting,18
2085,Aarti Drugs,3.9,(241 Reviews),Public,Mumbai + 9 more,38 years old,201-500 Employees (India),Manufacturing,10
2086,Teva API,3.9,(241 Reviews),Private,Tel Aviv + 13 more,87 years old,1k-5k Employees (India),Pharmaceutical & Life Sciences,2
2087,Maharashtra Seam...,3.6,(241 Reviews),Public,"Gurgaon/Gurugram,Haryana + 10 more",34 years old,1k-5k Employees (India),Industrial Equipment / Machinery,1
2088,North East Small...,4.1,(241 Reviews),Private,"Guwahati,Assam + 44 more",6 years old,1k-5k Employees (India),Financial Services,4
2089,Tetra Pak,4.2,(241 Reviews),Private,Pully + 11 more,35 years old,1k-5k Employees (India),Design,14
2090,Alpla,4.1,(241 Reviews),Private,"Hard,Vorarlberg + 9 more",67 years old,501-1k Employees (India),Manufacturing,1
2091,Integra Software...,3.8,(241 Reviews),Private,Pondicherry + 6 more,28 years old,1k-5k Employees (India),IT Services & Consulting,14
2092,Boeing,4.0,(241 Reviews),Public,Chicago + 5 more,106 years old,5k-10k Employees (India),Airlines / Aviation / Aerospace,16
2093,Flowserve,4.2,(240 Reviews),Private,"Irving,Texas + 9 more",25 years old,1k-5k Employees (India),Industrial Equipment / Machinery,14
2094,Dishnet Wireless,4.2,(240 Reviews),Public,"Delhi/NCR,New Delhi + 48 more",24 years old,1k-5k Employees (India),Telecom / ISP,20
2095,R.S. Infraprojec...,4.1,(240 Reviews),Private,"Noida,Uttar Pradesh + 29 more",17 years old,501-1k Employees (India),Manufacturing,3
2096,GTL,4.3,(240 Reviews),Public,"Mumbai,Maharashtra + 33 more",35 years old,1k-5k Employees (India),Telecom / ISP,3
2097,Gulf Oil Lubrica...,4.2,(240 Reviews),Public,"Mumbai,Maharashtra + 48 more",29 years old,501-1k Employees (India),Manufacturing,9
2098,Alankit,3.0,(240 Reviews),Public,"Delhi/NCR,New Delhi + 29 more",31 years old,1k-5k Employees (India),Financial Services,6
2099,Aker Solutions,4.0,(239 Reviews),Private,"Fornebu,Akershus + 4 more",181 years old,1k-5k Employees (India),Power,13
2100,Kelly Services,4.1,(239 Reviews),Private,"Troy,Michigan + 24 more",76 years old,51-200 Employees (India),Recruitment / Staffing,2
2101,RR kabel,4.2,(239 Reviews),Public,"Mumbai,Maharashtra + 44 more",27 years old,501-1k Employees (India),Industrial Equipment / Machinery,8
2102,Seoyon E-hwa Aut...,3.9,(239 Reviews),Private,Seoul + 12 more,50 years old,51-200 Employees (India),Automobile,2
2103,Win Medicare,4.1,(239 Reviews),Private,"Delhi/NCR,Delhi + 41 more",17 years old,501-1k Employees (India),Manufacturing,4
2104,Jyoti CNC Automa...,4.2,(239 Reviews),Public,"Rajkot,Gujarat + 21 more",33 years old,501-1k Employees (India),Industrial Equipment / Machinery,15
2105,Enco Engineers C...,3.9,(239 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",39 years old,51-200 Employees (India),Manufacturing,4
2106,VKC Group,3.6,(239 Reviews),Private,"Calicut/Kozhikode,Kerala + 29 more",38 years old,1k-5k Employees (India),Consumer goods,13
2107,Metalman Auto,4.0,(239 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",36 years old,1k-5k Employees (India),Manufacturing,12
2108,Texmaco Rail and...,3.9,(239 Reviews),Private,"Kolkata,West Bengal + 25 more",24 years old,1k-5k Employees (India),Industrial Equipment / Machinery,13
2109,MeritNation,3.5,(238 Reviews),Private,"Delhi,NCT + 20 more",34 years old,51-200 Employees (India),Internet,14
2110,Blackrock,4.1,(238 Reviews),Private,"New York City,New York + 7 more",18 years old,1k-5k Employees (India),Consulting,20
2111,Kerala State Ele...,4.3,(238 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 21 more",65 years old,10k-50k Employees (India),Power,18
2112,Cera Sanitarywar...,4.2,(238 Reviews),Public,"London,England + 43 more",42 years old,1k-5k Employees (India),Building Material,6
2113,Wartsila,4.5,(238 Reviews),Private,Helsinki + 30 more,188 years old,501-1k Employees (India),Manufacturing,11
2114,Birla Tyres,3.5,(238 Reviews),Private,"Kolkata,West Bengal + 58 more",31 years old,1k-5k Employees (India),Automobile,2
2115,Licious,4.1,(238 Reviews),Private,"Bangalore,Karnataka + 20 more",7 years old,1k-5k Employees (India),Food Processing,19
2116,Five-star Busine...,4.3,(238 Reviews),Public,"Chennai,Tamil Nadu + 102 more",38 years old,1k-5k Employees (India),Financial Services,19
2117,Clarivate Analyt...,3.9,(259 Reviews),Public,"Philadelphia,Pennsylvania + 8 more",6 years old,1k-5k Employees (India),Internet,5
2118,Mecon,3.9,(237 Reviews),Private,"Ranchi,Jharkhand + 28 more",63 years old,1k-5k Employees (India),Metals & Mining,19
2119,Xdbs,3.4,(237 Reviews),Private,"Redwood City,San Francisco + 2 more",10 years old,1k-5k Employees (India),Internet,2
2120,Dana India,4.0,(237 Reviews),Private,"Pune,Maharashtra + 12 more",21 years old,1k-5k Employees (India),Industrial Equipment / Machinery,10
2121,Yusen Logistics,4.1,(237 Reviews),Private,Tokyo + 24 more,67 years old,501-1k Employees (India),Logistics / Shipping,2
2122,NR Switch N Radi...,4.0,(237 Reviews),Private,"Kota,Rajasthan + 45 more",24 years old,501-1k Employees (India),Telecom / ISP,11
2123,M3M India,3.7,(237 Reviews),Private,"Gurgaon,Haryana + 2 more",37 years old,201-500 Employees (India),Real Estate,18
2124,Markets and Mark...,3.4,(237 Reviews),Private,"Pune,Maharashtra + 3 more",12 years old,501-1k Employees (India),Internet,15
2125,Amartex Industri...,4.4,(237 Reviews),Public,Panchkula + 16 more,34 years old,1k-5k Employees (India),Textile & Apparel,9
2126,Insolutions Glob...,3.8,(237 Reviews),Private,Mumbai + 13 more,18 years old,1k-5k Employees (India),Financial Services,19
2127,DFM Foods,4.2,(237 Reviews),Public,"Delhi/NCR,New Delhi + 44 more",39 years old,501-1k Employees (India),FMCG,9
2128,Prem Henna,3.6,(236 Reviews),Private,Indore + 52 more,92 years old,201-500 Employees (India),Beauty & Wellness,3
2129,Mrs Bector's Foo...,4.1,(236 Reviews),Public,Gurgaon + 33 more,44 years old,1k-5k Employees (India),Consumer goods,9
2130,Veritas Finance,4.2,(236 Reviews),Private,"Chennai,Tamil Nadu + 91 more",7 years old,1k-5k Employees (India),Financial Services,14
2131,Prem Henna,3.6,(236 Reviews),Private,Indore + 52 more,92 years old,201-500 Employees (India),Beauty & Wellness,19
2132,Serum Institute ...,4.2,(236 Reviews),Private,Pune + 14 more,56 years old,1k-5k Employees (India),Biotechnology,7
2133,Keysight Technol...,4.2,(236 Reviews),Private,"Santa Rosa,California + 7 more",8 years old,1k-5k Employees (India),Internet,16
2134,SunTec Web Servi...,3.4,(236 Reviews),Private,New Delhi + 2 more,23 years old,1k-5k Employees (India),BPO/KPO,16
2135,Navin Fluorine I...,3.9,(236 Reviews),Public,"Mumbai,Maharashtra + 8 more",55 years old,501-1k Employees (India),Chemicals / Agri Inputs,1
2136,Katerra,3.7,(236 Reviews),Private,"Menlo Park,California + 11 more",7 years old,501-1k Employees (India),Advertising / PR / Events,4
2137,Gammon Engineers...,4.0,(236 Reviews),Mumbai + 31 more,100 years old,201-500 Employees (India),,Engineering & Construction,4
2138,GS Engineering &...,4.2,(236 Reviews),Seoul + 15 more,53 years old,201-500 Employees (India),,Engineering & Construction,7
2139,National Petrole...,4.1,(332 Reviews),Abu Dhabi + 20 more,49 years old,501-1k Employees (India),,Industrial Equipment / Machinery,8
2140,Ralson India,3.8,(235 Reviews),Public,"Delhi/NCR,Delhi + 33 more",48 years old,501-1k Employees (India),Automobile,17
2141,OnProcess Techno...,3.9,(235 Reviews),Private,"Ashland,Massachusetts",24 years old,501-1k Employees (India),Logistics / Shipping,5
2142,Liberty General ...,4.1,(235 Reviews),Private,"Mumbai,Maharashtra + 57 more",9 years old,1k-5k Employees (India),Financial Services,7
2143,Galaxy Surfactan...,3.2,(235 Reviews),Public,Mumbai + 8 more,42 years old,1k-5k Employees (India),Chemicals / Agri Inputs,20
2144,Sheela Foam,4.3,(235 Reviews),Public,"Delhi/NCR,Delhi + 55 more",51 years old,1k-5k Employees (India),Consumer goods,20
2145,Ceinsys Tech,3.7,(235 Reviews),Public,"Nagpur,Maharashtra + 31 more",24 years old,501-1k Employees (India),Defence & Aerospace,4
2146,BCD Travel,4.0,(235 Reviews),Private,"Utrecht,Utrecht + 9 more",16 years old,1k-5k Employees (India),Advertising / PR / Events,6
2147,Osource India,3.4,(235 Reviews),Private,"Noida,Uttar Pradesh + 18 more",18 years old,201-500 Employees (India),BPO/KPO,7
2148,ELGI Equipments,4.0,(252 Reviews),Public,"Coimbatore,Tamil Nadu + 21 more",62 years old,1k-5k Employees (India),Industrial Equipment / Machinery,18
2149,GGS Information ...,3.5,(234 Reviews),Private,"York,Pennsylvania + 6 more",34 years old,501-1k Employees (India),IT Services & Consulting,5
2150,MN Dastur & Comp...,3.5,(234 Reviews),Private,"Kolkata,West Bengal + 12 more",67 years old,1k-5k Employees (India),Metals & Mining,20
2151,FCm Travel Solut...,3.6,(234 Reviews),Private,Brisbane + 21 more,36 years old,1k-5k Employees (India),Travel & Tourism / Hospitality,3
2152,Axiscades,3.3,(234 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",32 years old,1k-5k Employees (India),Industrial Equipment / Machinery,7
2153,Hanon Systems,4.0,(234 Reviews),Private,Daejeon + 11 more,36 years old,501-1k Employees (India),Industrial Equipment / Machinery,14
2154,Appsierra,4.8,(234 Reviews),Private,"Noida,Uttar Pradesh + 7 more",7 years old,51-200 Employees (India),IT Services & Consulting,7
2155,Sapphire Foods I...,3.9,(234 Reviews),Private,"Mumbai,Maharashtra + 32 more",7 years old,5k-10k Employees (India),Manufacturing,5
2156,QuEST Global Eng...,3.6,(234 Reviews),Bengaluru/Bangalore + 9 more,,,,,5
2157,IMSI,3.3,(234 Reviews),Private,"Dehradun,Uttarakhand + 35 more",36 years old,1k-5k Employees (India),Recruitment / Staffing,2
2158,TVS Eurogrip,3.6,(234 Reviews),Public,Madurai + 34 more,40 years old,1k-5k Employees (India),Automobile,6
2159,Honeywell Intern...,3.9,(2.2k Reviews),Charlotte + 15 more,116 years old,10k-50k Employees (India),,Defence & Aerospace,15
2160,Agro Tech Foods,4.3,(265 Reviews),Public,"Gurgaon/Gurugram,Haryana + 39 more",36 years old,501-1k Employees (India),Food Processing,10
2161,smartData Enterp...,3.8,(233 Reviews),Private,White Plains + 6 more,23 years old,501-1k Employees (India),IT Services & Consulting,7
2162,Anthem Bioscienc...,4.1,(233 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",16 years old,1k-5k Employees (India),Clinical Research / Contract Research,5
2163,Tata Marcopolo M...,3.7,(233 Reviews),Public,"Pune,Maharashtra + 10 more",77 years old,50k-1 Lakh Employees (India),Automobile,1
2164,Suroj Buildcon,4.2,(233 Reviews),Private,"Pune,Maharashtra + 20 more",9 years old,1k-5k Employees (India),Architecture / Interior Design,13
2165,Ventura Securiti...,4.1,(233 Reviews),Public,Thane + 35 more,28 years old,1k-5k Employees (India),Financial Services,18
2166,VDA Infosolution...,3.7,(233 Reviews),Private,"Mumbai,Maharashtra + 21 more",12 years old,201-500 Employees (India),IT Services & Consulting,13
2167,Hero Cycles,3.7,(233 Reviews),Public,"Gurgaon/Gurugram,Haryana + 31 more",66 years old,1k-5k Employees (India),Automobile,18
2168,Methodex,3.5,(233 Reviews),Private,"Delhi/NCR,Delhi + 40 more",62 years old,1k-5k Employees (India),Retail,5
2169,Caratlane Tradin...,4.4,(233 Reviews),Private,"Chennai,Tamil Nadu + 20 more",14 years old,1k-5k Employees (India),Gems & Jewellery,13
2170,Fluper,4.0,(233 Reviews),Public,"Noida,Uttar Pradesh + 1 more",9 years old,201-500 Employees (India),IT Services & Consulting,4
2171,Dusters Total So...,4.0,(233 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",28 years old,501-1k Employees (India),Facility Management Services,17
2172,Syneos Health,4.2,(233 Reviews),Private,"Morrisville,North Carolina + 4 more",38 years old,1k-5k Employees (India),Clinical Research / Contract Research,3
2173,Housejoy,4.6,(232 Reviews),Private,"Bangalore,Karnataka + 16 more",8 years old,201-500 Employees (India),Beauty & Wellness,17
2174,Pranav Vikas Ind...,3.7,(232 Reviews),"Delhi/NCR,Delhi + 6 more",35 years old,201-500 Employees (India),,Industrial Equipment / Machinery,11
2175,India Glycols,4.0,(232 Reviews),Public,"Noida,Uttar Pradesh + 12 more",39 years old,1k-5k Employees (India),Chemicals / Agri Inputs,20
2176,P&O Cruises,4.5,(232 Reviews),Private,Southampton + 8 more,185 years old,11-50 Employees (India),Travel & Tourism / Hospitality,4
2177,Dainik Jagran,3.8,(232 Reviews),Public,"Noida,Uttar Pradesh + 50 more",80 years old,201-500 Employees (India),Media & Entertainment / Publishing,2
2178,eTeam,3.4,(232 Reviews),Private,"South Plainfield,New Jersey + 13 more",23 years old,501-1k Employees (India),Recruitment / Staffing,20
2179,Amazon Web Servi...,4.2,(232 Reviews),Public,"Seattle,Washington + 22 more",16 years old,10k-50k Employees (India),Software Product,16
2180,SBI Mutual Fund,4.0,(232 Reviews),Private,"Mumbai,Maharashtra + 92 more",35 years old,1k-5k Employees (India),Financial Services,18
2181,GMR Hyderabad In...,4.0,(232 Reviews),Private,"Delhi/NCR,Delhi + 10 more",22 years old,201-500 Employees (India),Airlines / Aviation / Aerospace,8
2182,Yardi Systems,4.1,(232 Reviews),Private,Santa Barbara + 1 more,38 years old,1k-5k Employees (India),Real Estate,3
2183,360 Realtors,3.8,(232 Reviews),LLP,"Gurgaon/Gurugram,Haryana + 20 more",8 years old,501-1k Employees (India),Consulting,9
2184,Venkateshwara Ha...,3.7,(232 Reviews),Private,"Pune,Maharashtra + 30 more",51 years old,201-500 Employees (India),Agriculture / Forestry / Fishing,20
2185,Sheenlac Paints,3.5,(232 Reviews),Public,"Chennai,Tamil Nadu + 29 more",60 years old,501-1k Employees (India),Chemicals / Agri Inputs,6
2186,Easyday Club,4.4,(232 Reviews),"Mumbai,Maharashtra + 62 more",14 years old,1-10 Employees (India),,Consumer goods,10
2187,Realty Assistant,4.8,(232 Reviews),Private,"Noida,Uttar Pradesh + 4 more",3 years old,201-500 Employees (India),Real Estate,10
2188,Tata Steel Utili...,3.8,(232 Reviews),Jamshedpur + 11 more,,,,Power,13
2189,Uplers,4.5,(232 Reviews),Private,"Ahmedabad,Gujarat + 6 more",10 years old,1k-5k Employees (India),Recruitment / Staffing,17
2190,Allcargo Logisti...,4.1,(231 Reviews),Public,"Mumbai,Maharashtra + 31 more",29 years old,1k-5k Employees (India),Logistics / Shipping,9
2191,Cotiviti,4.1,(231 Reviews),Private,South Jordan,43 years old,1k-5k Employees (India),Analytics / KPO / Research,17
2192,Groupon,3.7,(231 Reviews),Private,"Chicago,Illinois + 6 more",14 years old,1k-5k Employees (India),Internet,9
2193,Hafele,4.2,(231 Reviews),Private,Nagold + 28 more,99 years old,1k-5k Employees (India),Furniture & Furnishing,9
2194,Sotc Travel Serv...,3.8,(231 Reviews),Private,Mumbai + 31 more,73 years old,1k-5k Employees (India),Travel & Tourism / Hospitality,1
2195,Senco Gold,4.1,(231 Reviews),Private,"Kolkata,West Bengal + 44 more",28 years old,1k-5k Employees (India),Gems & Jewellery,2
2196,Kyungshin Indust...,3.5,(231 Reviews),Chennai + 6 more,25 years old,201-500 Employees (India),,Industrial Equipment / Machinery,16
2197,Virtual Employee,3.7,(231 Reviews),Private,"Noida,Uttar Pradesh + 8 more",15 years old,1k-5k Employees (India),Recruitment / Staffing,1
2198,Shriram Group,4.1,(7.1k Reviews),Private,"Chennai,Tamil Nadu + 99 more",48 years old,50k-1 Lakh Employees (India),Consulting,10
2199,Merck,4.1,(497 Reviews),Private,"Rahway,New Jersey + 35 more",131 years old,1k-5k Employees (India),Pharmaceutical & Life Sciences,18
2200,Prem Motors,3.9,(230 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",32 years old,1k-5k Employees (India),Automobile,8
2201,Jetking Infotrai...,3.8,(230 Reviews),Public,"Mumbai,Maharashtra + 46 more",75 years old,51-200 Employees (India),Education / Training,11
2202,Eisai Pharmaceut...,4.4,(230 Reviews),Public,"Tokyo,Tokyo-to + 12 more",18 years old,201-500 Employees (India),Internet,2
2203,Magic Bus India ...,4.0,(230 Reviews),Private,"Mumbai,Maharashtra + 36 more",23 years old,1k-5k Employees (India),NGO / Social Services / Industry Associations,8
2204,Kolte Patil Deve...,4.2,(230 Reviews),Public,"Pune,Maharashtra + 5 more",31 years old,1k-5k Employees (India),Engineering & Construction,8
2205,Rosmerta Technol...,3.1,(230 Reviews),Private,Gurgaon + 45 more,16 years old,1k-5k Employees (India),IT Services & Consulting,17
2206,SNS College of T...,4.9,(230 Reviews),501-1k Employees (India),,,,Education / Training,15
2207,Ienergizer BPO S...,3.5,(230 Reviews),Noida + 7 more,5k-10k Employees (India),,,BPO/KPO,17
2208,Kalyani Technofo...,4.1,(230 Reviews),Private,"Pune,Maharashtra + 9 more",43 years old,201-500 Employees (India),Automobile,13
2209,NKG Infrastructu...,3.8,(229 Reviews),Private,"Delhi/NCR,Delhi + 28 more",33 years old,1k-5k Employees (India),Engineering & Construction,19
2210,Toyoda Gosei Min...,4.0,(229 Reviews),Private,Aichi + 12 more,14 years old,51-200 Employees (India),Automobile,5
2211,Brigade Group,4.1,(229 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",36 years old,1k-5k Employees (India),Architecture / Interior Design,12
2212,Dineshchandra R ...,4.0,(229 Reviews),Private,"Ahmedabad,Gujarat + 35 more",50 years old,1k-5k Employees (India),Engineering & Construction,1
2213,National Contrac...,4.2,(229 Reviews),Private,Al-Khobar + 17 more,55 years old,501-1k Employees (India),Real Estate,5
2214,ANZ Support Serv...,4.6,(229 Reviews),Bengaluru/Bangalore + 2 more,,,,,8
2215,Unitech,4.1,(229 Reviews),Public,"Gurgaon/Gurugram,Haryana + 18 more",51 years old,1k-5k Employees (India),Real Estate,13
2216,Techno Electric ...,4.0,(229 Reviews),Public,"Kolkata,West Bengal + 36 more",59 years old,201-500 Employees (India),Manufacturing,8
2217,Ramco Industries,4.3,(229 Reviews),Public,"Chennai,Tamil Nadu + 38 more",30 years old,1k-5k Employees (India),Building Material,11
